  KIC   numax  e_numax   dnu e_dnu  dpi e_dpi  q e_q   eps_g e_eps_g    rot  e_rot
  2970784  136.10  1.67  11.76 0.06   79.74 0.07  0.14 0.02   0.303 0.085   560  22
  2971380   77.60  1.03   7.92 0.04   70.84 0.03  0.14 0.02   0.067 0.078   180  13
  2971432  182.50  2.12  13.77 0.06   83.49 0.09  0.14 0.02   0.269 0.074   200  20
  2972545  134.20  1.49  10.78 0.05   80.34 0.13  0.12 0.02   0.261 0.126   460  27
  2972876   97.18  1.04   7.81 0.04   91.17 0.06  0.14 0.02   0.203 0.072   380  17
  2974827  147.40  1.86  12.68 0.07   82.48 0.06  0.16 0.02   0.224 0.060   440  18
  2982965   37.40  0.54   4.29 0.04  316.00 0.27  0.25 0.03   0.016 0.074    30   7
  2987113   33.60  0.48   3.79 0.03  246.75 0.14  0.26 0.03  -0.059 0.076    30   7
  2988079   36.50  0.53   4.18 0.04  266.52 0.18  0.25 0.03   0.087 0.075    30   7
  2988295  211.30  2.70  16.85 0.07   88.85 0.11  0.16 0.02   0.283 0.069   170  21
  2988638   94.10  0.99   7.42 0.04  232.42 0.51  0.21 0.02  -0.005 0.106    50  12
  2992250   40.90  0.56   4.46 0.04  245.61 0.18  0.24 0.03  -0.167 0.075    30   7
  2992350   45.90  0.60   4.72 0.04  242.77 0.16  0.31 0.03  -0.038 0.064    35   8
  2992573   43.10  0.58   4.54 0.04  286.96 0.17  0.32 0.04  -0.073 0.049    30   7
  2996019   31.50  0.49   3.87 0.03  313.85 0.15  0.37 0.04  -0.151 0.052    10   7
  2996112   31.20  0.49   3.92 0.04  323.75 0.26  0.35 0.04  -0.032 0.084    60  15
  2998532  105.00  1.24   9.36 0.04   75.11 0.04  0.12 0.02   0.199 0.073   280  15
  3003053   86.30  1.07   8.09 0.05   72.44 0.05  0.12 0.02   0.200 0.127   220  16
  3096636  153.30  1.94  12.78 0.07   81.78 0.07  0.17 0.02   0.296 0.068   220  18
  3097183   75.40  0.91   6.96 0.04   70.82 0.03  0.13 0.02   0.198 0.089   160  13
  3097194   30.50  0.50   3.97 0.04  330.68 0.26  0.32 0.05  -0.027 0.077    20   7
  3097819  161.10  1.88  12.70 0.06   81.55 0.08  0.12 0.02   0.203 0.074   270  20
  3098045   34.30  0.52   4.15 0.04  280.36 0.14  0.26 0.03   0.256 0.057    25   7
  3098179  137.80  1.66  11.99 0.05   80.88 0.02  0.13 0.02   0.216 0.024   320  12
  3099949   33.10  0.52   4.11 0.04  328.01 0.24  0.38 0.04   0.022 0.075    30   7
  3100053   30.30  0.50   3.94 0.04  316.03 0.19  0.31 0.04   0.022 0.066    30   7
  3100164   90.98  1.14   8.61 0.05   74.15 0.03  0.12 0.02   0.005 0.074   250  14
  3101090   31.40  0.49   3.88 0.03  322.56 0.11  0.34 0.04  -0.028 0.034    30   7
  3101815   34.00  0.52   4.15 0.04  332.34 0.31  0.24 0.03  -0.224 0.092    30   7
  3102479   38.30  0.54   4.27 0.04  316.08 0.21  0.26 0.03  -0.155 0.057    30   7
  3109742  101.50  1.23   9.16 0.05   71.92 0.06  0.14 0.02   0.368 0.112   230  18
  3110056   35.20  0.52   4.16 0.04  277.30 0.23  0.32 0.04  -0.108 0.085    30   7
  3110846   31.30  0.51   4.01 0.04  293.88 0.30  0.24 0.03  -0.253 0.120    30   7
  3111456  199.80  2.69  15.58 0.09   86.68 0.07  0.17 0.02   0.283 0.050   320  18
  3111831  123.20  1.43  10.41 0.05   78.51 0.06  0.13 0.02   0.252 0.088   380  18
  3112405   33.80  0.49   3.87 0.03  249.87 0.19  0.26 0.03  -0.053 0.107    40  10
  3113648   86.97  1.05   8.10 0.04   73.95 0.05  0.12 0.02  -0.089 0.108   880  26
  3113811   43.70  0.59   4.62 0.04  298.40 0.21  0.32 0.04  -0.001 0.055    60  15
  3115292  150.60  1.79  12.35 0.06   80.46 0.10  0.13 0.02   0.282 0.110   320  22
  3116604   90.70  1.03   7.67 0.04  253.80 0.18  0.22 0.03  -0.111 0.032    30   7
  3116848   34.70  0.52   4.11 0.04  289.88 0.21  0.32 0.04  -0.120 0.075    35   8
  3117024   36.70  0.51   4.03 0.03  256.53 0.15  0.23 0.03  -0.009 0.068    30   7
  3119526   38.60  0.55   4.31 0.04  261.43 0.18  0.26 0.03  -0.039 0.080    20   7
  3119555   84.00  1.00   7.70 0.04   70.49 0.05  0.12 0.02   0.227 0.119   220  16
  3120004   31.80  0.52   4.09 0.04  301.12 0.18  0.26 0.04   0.090 0.066    30   7
  3120550   61.20  0.83   6.50 0.04   66.30 0.03  0.13 0.02   0.323 0.140    20   7
  3122185   97.40  1.08   7.86 0.05  223.57 0.60  0.22 0.03  -0.016 0.128    90  22
  3122548   35.30  0.53   4.18 0.04  285.56 0.27  0.24 0.03  -0.265 0.097    30   7
  3123206   32.90  0.51   4.03 0.04  289.40 0.25  0.24 0.03   0.113 0.106    30   7
  3123653   97.30  1.21   9.16 0.04   74.78 0.06  0.12 0.02   0.247 0.110   310  18
  3127825   38.80  0.56   4.45 0.04  303.87 0.15  0.34 0.04  -0.039 0.045    40  10
  3128866   80.40  0.89   6.75 0.04  279.19 0.26  0.23 0.03  -0.136 0.042    90  17
  3129312  150.20  1.81  12.69 0.06   82.50 0.11  0.14 0.02   0.336 0.113   290  23
  3215565   31.00  0.51   4.04 0.04  334.02 0.28  0.34 0.04  -0.165 0.087    30   7
  3215869   70.23  0.85   6.57 0.04   68.71 0.02  0.12 0.02   0.262 0.082   200  12
