KIC,numax,numax_std,Deltanu,Deltanu_err,DPi1,dpi_e,dpi_E,q,q_e,q_E,eps_g,eps_g_e,eps_g_E,drot,drot_e,drot_E,feh,mass,mass_std
5543573,132.091,2.642,10.857,0.004,76.977,0.013,0.121,0.14,0.011,0.026,0.215,0.136,0.016,0.576,0.026,0.023,,,
5544444,92.026,1.841,7.925,0.002,70.881,0.034,0.121,0.11,0.014,0.023,0.222,0.239,0.075,0.0,0.0,0.0,0.285,1.529,0.092
5560101,159.429,3.189,12.66,0.003,80.433,0.148,0.2,0.136,0.026,0.026,0.33,0.133,0.17,0.0,0.0,0.0,,,
5600739,188.045,3.761,14.485,0.004,83.242,0.004,0.166,0.141,0.005,0.007,0.188,0.121,0.001,0.319,0.008,0.025,0.113,1.228,0.069
5602062,109.169,2.183,9.83,0.002,77.095,0.022,0.018,0.128,0.009,0.015,0.378,0.023,0.029,0.101,0.013,0.01,-0.126,1.075,0.061
5613099,177.719,3.554,13.86,0.003,83.827,0.035,0.222,0.134,0.02,0.027,0.125,0.125,0.02,0.36,0.059,0.087,0.302,1.191,0.068
5617324,165.194,3.304,12.54,0.003,87.784,0.021,0.114,0.127,0.01,0.01,0.168,0.089,0.016,0.225,0.018,0.015,-0.068,1.549,0.092
5620636,156.027,3.121,12.294,0.002,79.73,0.148,0.096,0.121,0.032,0.019,0.236,0.085,0.132,0.23,0.05,0.016,0.31,1.31,0.074
5637392,82.69,1.654,7.647,0.003,70.726,0.013,0.007,0.144,0.007,0.01,0.103,0.008,0.03,0.396,0.008,0.004,-0.141,1.301,0.077
5639438,182.68,3.654,13.194,0.003,71.189,0.023,0.093,0.096,0.016,0.039,0.269,0.089,0.029,0.12,0.06,0.043,0.183,1.673,0.1
5645576,125.975,2.519,10.551,0.003,78.156,0.013,0.288,0.124,0.027,0.031,0.178,0.354,0.002,0.0,0.0,0.0,0.361,1.21,0.07
5647719,164.084,3.282,12.48,0.003,88.705,0.047,0.264,0.116,0.011,0.053,-0.063,0.152,0.062,0.292,0.057,0.051,0.035,1.533,0.089
5648159,206.466,4.129,14.844,0.005,85.176,0.083,0.006,0.144,0.008,0.003,0.249,0.005,0.057,0.278,0.002,0.027,0.091,1.531,0.09
5650945,175.206,3.504,13.769,0.003,83.438,0.036,0.076,0.137,0.011,0.021,0.23,0.055,0.028,0.335,0.033,0.023,,,
5653970,113.333,2.267,9.471,0.002,73.265,0.08,0.009,0.147,0.013,0.04,0.181,0.004,0.088,0.595,0.032,0.02,-0.046,1.495,0.088
5685237,106.19,2.124,9.472,0.002,75.763,0.038,0.024,0.137,0.019,0.019,0.142,0.05,0.042,0.518,0.057,0.03,-0.334,1.114,0.068
5694017,184.715,3.694,14.305,0.003,83.485,0.078,0.02,0.131,0.003,0.007,0.222,0.016,0.062,0.0,0.0,0.0,0.24,1.207,0.068
5694334,85.884,1.718,7.994,0.003,72.47,0.037,0.101,0.119,0.022,0.034,0.151,0.205,0.026,0.0,0.0,0.0,,,
5714754,193.282,3.866,15.392,0.007,86.719,0.021,0.115,0.18,0.014,0.064,0.195,0.048,0.021,0.27,0.009,0.149,,,
5724214,176.681,3.534,13.908,0.004,83.447,0.015,0.026,0.147,0.0,0.007,0.156,0.015,0.017,0.214,0.006,0.005,,,
